track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,will_enjoy
2mnXxnrX5vCGolNkaFvVeM,0.887,0.234,9,-14.52,1,0.178,0.111,0.67,0.13,0.197,140.02,4,0
2UW7JaomAMuX9pZrjVpHAU,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,4,0
4eMKD8MRroxCqugpsxCCNb,0.805,0.707,6,-3.758,0,0.0353,0.142,3.71e-05,0.563,0.744,122.014,4,1
6RtPijgfPKROxEzTHNRiDp,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,4,0
6JRLFiX9NJSoRRKxowlBYr,0.776,0.559,6,-8.375,0,0.103,0.11,0.0,0.0671,0.758,122.242,4,1
7uSLF2yhpjLlYBLtyPX3Lb,0.847,0.988,9,-0.517,1,0.103,0.283,0.000942,0.345,0.699,115.057,4,1
5gflgO9EPbIBf16n5TKnQS,0.808,0.697,10,-5.899,1,0.241,0.041,0.0,0.0546,0.554,95.06,4,1
1MB8kTH7VKvAMfL9SHgJmG,0.817,0.851,11,-3.309,0,0.0627,0.0351,0.0,0.232,0.886,127.019,4,1
5HrIcZOo1DysX53qDRlRnt,0.763,0.699,11,-6.118,0,0.0554,0.00789,0.0,0.409,0.255,110.01,4,1
5mg3VB3Qh7jcR5kAAC4DSV,0.774,0.66,2,-8.2,1,0.0328,0.662,0.0,0.4,0.961,120.023,4,1
0L8LOav65XwLjCLS11gNPD,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,4,1
2gYj9lubBorOPIVWsTXugG,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,4,1
1ULdASrNy5rurl1TZfFaMP,0.757,0.898,11,-1.247,0,0.0667,0.0138,0.0,0.0703,0.842,114.949,4,1
69CrOS7vEHIrhC2ILyEi0s,0.841,0.384,9,-7.684,0,0.0351,0.0236,2.28e-06,0.0735,0.597,123.961,4,1
5wxYxygyHpbgv0EXZuqb9V,0.681,0.821,11,-5.12,0,0.131,0.532,0.00111,0.0921,0.813,94.074,4,0
6EY9e6LyPWmL8hUS5E1P0h,0.623,0.755,7,-5.386,1,0.0415,0.00306,0.0,0.387,0.32,119.957,4,1
2pIUpMhHL6L9Z5lnKxJJr9,0.811,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,4,0
65FftemJ1DbbZ45DUfHJXE,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,4,1
4fsQ0K37TOXa3hEQfjEic1,0.882,0.797,10,-3.299,0,0.0819,0.0821,0.0,0.113,0.824,105.025,4,0
4uOBL4DDWWVx4RhYKlPbPC,0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,4,1
51vRumtqbkNW9wrKfESwfu,0.795,0.875,4,-4.079,0,0.0525,0.111,8.94e-05,0.107,0.375,104.008,4,1
7mpdNiaQvygj2rHoxkzMfa,0.795,0.781,1,-4.647,1,0.141,0.285,0.0,0.108,0.687,104.972,4,1
69xohKu8C1fsflYAiSNbwM,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,4,0
4SFknyjLcyTLJFPKD2m96o,0.812,0.761,11,-5.222,1,0.0812,0.0465,0.000135,0.0601,0.344,130.032,4,1
5podb1asONjqwKk1iMVOeG,0.593,0.858,1,-2.568,1,0.214,0.226,0.0,0.115,0.764,160.164,4,0
